cycle=156808 time=1.4998588563731133e+02 dt=9.0116034480083971e-04
cycle=156809 time=1.4998678679765612e+02 dt=9.0174856622319676e-04
cycle=156810 time=1.4998768854622236e+02 dt=9.0242493766612224e-04
cycle=156811 time=1.4998859097116002e+02 dt=9.0320698439178069e-04
cycle=156812 time=1.4998949417814441e+02 dt=9.0411176144231207e-04
cycle=156813 time=1.4999039828990584e+02 dt=9.0478093742240304e-04
cycle=156814 time=1.4999130307084326e+02 dt=9.0546121596194395e-04
cycle=156815 time=1.4999220853205921e+02 dt=9.0623598845753807e-04
cycle=156816 time=1.4999311476804766e+02 dt=9.0711680294104299e-04
cycle=156817 time=1.4999402188485061e+02 dt=9.0812458952206263e-04
cycle=156818 time=1.4999493000944014e+02 dt=9.0928751265091927e-04
cycle=156819 time=1.4999583929695279e+02 dt=9.1064035258788174e-04
cycle=156820 time=1.4999674993730540e+02 dt=9.1152834917476245e-04
cycle=156821 time=1.4999766146565457e+02 dt=9.1245231418353727e-04
cycle=156822 time=1.4999857391796877e+02 dt=9.1349790805156958e-04
cycle=156823 time=1.4999948741587681e+02 dt=9.1469105065673285e-04
cycle=156824 time=1.5000040210692748e+02 dt=9.1606509982613063e-04
cycle=156825 time=1.5000131817202731e+02 dt=9.1766383120157446e-04
cycle=156826 time=1.5000223583585850e+02 dt=9.1898023540073852e-04
cycle=156827 time=1.5000315481609391e+02 dt=9.1970799331157391e-04
cycle=156828 time=1.5000407452408723e+02 dt=9.2057166567063734e-04
cycle=156829 time=1.5000499509575289e+02 dt=9.2134584761910702e-04
cycle=156830 time=1.5000591644160050e+02 dt=9.2211666667124008e-04
cycle=156831 time=1.5000683855826716e+02 dt=9.2306398665778174e-04
cycle=156832 time=1.5000776162225381e+02 dt=9.2426279475942333e-04
cycle=156833 time=1.5000868588504858e+02 dt=9.2526629320067435e-04
cycle=156834 time=1.5000961115134177e+02 dt=9.2614390480569297e-04
cycle=156835 time=1.5001053729524656e+02 dt=9.2714811720295495e-04
cycle=156836 time=1.5001146444336376e+02 dt=9.2834554850949142e-04
cycle=156837 time=1.5001239278891228e+02 dt=9.2981388810743735e-04
cycle=156838 time=1.5001332260280040e+02 dt=9.3157653560919831e-04
cycle=156839 time=1.5001425417933601e+02 dt=9.3307314890269267e-04
cycle=156840 time=1.5001518725248491e+02 dt=9.3435382537359105e-04
